beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Sekretär/in / Assistent/in,4120,45.0,88.0,Verwaltung,70000,Sekundär II,http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba,Sekretär/Sekretärin,"Sekretariatskräfte nehmen eine Vielzahl administrativer Aufgaben wahr, um reibungslose Abläufe innerhalb einer Organisation zu gewährleisten. Sie nehmen Telefonanrufe entgegen, verfassen und versenden E-Mails, führen Terminkalender, vereinbaren Treffen, nehmen Mitteilungen entgegen, archivieren Dokumente, organisieren und betreuen Sitzungen und verwalten Datenbanken.",7.2,9.0,8.0,4.0,3.5,3.5,"E-Mail-Management, Terminkoordination, Dokumentenarchivierung und Datenbankpflege können durch KI-gestützte Tools (z.B. Microsoft Copilot, AI-Scheduling-Assistenten) weitgehend automatisiert werden. Auch das Verfassen standardisierter Korrespondenz ist stark automatisierbar.",3-5 Jahre,"In der Schweiz sind viele Grossunternehmen und KMU bereits dabei, Microsoft 365 Copilot und ähnliche Tools einzuführen, die Kernaufgaben des Sekretariats direkt adressieren. Der Beruf wird sich wandeln: Routineaufgaben entfallen zunehmend, während koordinative und zwischenmenschliche Kompetenzen an Bedeutung gewinnen. Die mehrsprachige Realität der Schweiz (DE/FR/IT) stellt KI-Systeme noch vor gewisse Herausforderungen, verlangsamt die Automatisierung jedoch nur leicht.",0.1,0.0,7.3,5.6,96d4a5e3c1ea,60k–100k CHF
Hauswarte,5153,44.3,29.0,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/1822bfc2-e735-449f-ba00-ca71eb5c062b,Hauswart/Hauswartin,"Hauswarte halten Gebäude instand und überwachen ihren Zustand und ihre Sicherheit. Sie führen Reinigungsarbeiten aus, nehmen kleinere Reparaturen vor und sorgen dafür, dass den Bewohnern Heizung, Warmwasser und andere Versorgungseinrichtungen zur Verfügung stehen. Hausmeister sind für die Qualität der Gebäude verantwortlich und dienen auch als Ansprechpartner für die Bewohner.",2.8,2.0,5.5,1.5,4.0,3.0,Überwachungsaufgaben wie Heizungs- und Anlagenmonitoring könnten durch IoT-Sensoren und Smart-Building-Systeme teilweise automatisiert werden; Reinigungsroboter können einfache Reinigungsarbeiten übernehmen.,5-10 Jahre,"Hauswarte üben einen stark physisch geprägten Beruf mit vielfältigen, kontextabhängigen Tätigkeiten aus, der schwer vollständig zu automatisieren ist. In der Schweiz gewinnen Smart-Building-Lösungen zwar an Bedeutung, doch manuelle Reparaturen, Bewohnerkontakt und situatives Urteilsvermögen bleiben unverzichtbar. Die Rolle wandelt sich eher hin zu einem Koordinator digitaler Gebäudesysteme als dass sie vollständig ersetzt wird.",0.0,-0.2,2.5999999999999996,3.4,734ffb4a2139,< 60k CHF
Fachkräfte in Marketing und Werbung,2431,43.9,50.5,Finanzen,115000,Tertiär,http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e,Mediakäufer/Mediakäuferin,"Mediakäufer erwerben im Namen ihrer Kunden Werbeflächen bzw. -zeiten in Print-, Rundfunk- und Online-Medien. Sie analysieren die Wirksamkeit und Angemessenheit der verschiedenen Kanäle in Abhängigkeit von der Ware oder Dienstleistung, um eine Grundlage für die Entscheidungsfindung zu erhalten. Sie bemühen sich, einen möglichst günstigen Preis auszuhandeln, ohne die Qualität der Werbung zu beeinträchtigen. Sie unterstützen die Entwicklung und Umsetzung von Marketing- und Werbeplänen im Kommunikationsbereich, indem sie das geeignetste Medium auswählen.",6.4,8.5,6.5,7.5,5.5,4.5,"Automatisierte Mediaplanung und programmatisches Buying durch KI-Plattformen (z.B. Google DV360, Trade Desk), die Kanalwahl, Budgetallokation und Gebotsoptimierung in Echtzeit übernehmen – ohne menschliches Eingreifen",3-5 Jahre,"Programmatic Advertising hat in der Schweiz bereits einen hohen Reifegrad erreicht, und KI-gestützte Bidding-Systeme übernehmen zunehmend operative Mediaplanung und Einkaufsentscheidungen. Die strategische Beratung von Schweizer KMU und Grossunternehmen sowie Verhandlungen mit lokalen Medienpartnern (SRG, Ringier, TX Group) erfordern jedoch weiterhin menschliches Urteilsvermögen und Beziehungspflege. Das Risiko liegt vor allem in der Routineautomatisierung des operativen Buyings, während strategisch-beratende Rollen mittelfristig bestehen bleiben.",0.3,0.2,6.9,8.2,f2c5deba4d5a,100k–150k CHF
Verkäufer/in (ohne Ausbildung),5223,40.0,70.0,Detailhandel,50000,Sekundär II,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,Verkäufer/Verkäuferin,Verkäufer stehen in direktem Kontakt mit den Kunden. Sie bieten den Kunden allgemeine Beratung.,4.2,3.5,6.5,3.0,5.5,3.5,"Standardisierte Beratungsgespräche, Kassenprozesse und Produktinformationen könnten durch Self-Checkout-Systeme, Beratungsrobots und KI-Chatbots teilweise ersetzt werden",3-5 Jahre,"In der Schweiz schreitet die Automatisierung im Detailhandel voran – Coop und Migros investieren stark in Self-Checkout und automatisierte Logistik. Dennoch bleibt der direkte Kundenkontakt, besonders bei erklärungsbedürftigen Produkten und sozialer Beratung, schwer vollständig automatisierbar. Ungelernte Verkäufer sind stärker gefährdet als spezialisierte Fachverkäufer, da ihre Tätigkeiten weniger tiefes Fachwissen erfordern und stärker regelbasiert sind.",0.2,-0.2,4.2,3.7,02a787a7fb1a,< 60k CHF
Sachbearbeiter/in öff. Verwaltung,4416,40.0,58.0,Öff. Verwaltung,82000,Sekundär II,http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd,Personalsachbearbeiter/Personalsachbearbeiterin,"Personalsachbearbeiter unterstützen Personalmanager bei allen Prozessen und Tätigkeiten. Sie helfen bei der Vorbereitung von Einstellungsverfahren, indem sie die eingegangenen Lebensläufe scannen und die Auswahl auf die am besten geeigneten Kandidaten beschränken. Sie erledigen Verwaltungsaufgaben, bereiten Mitteilungen und Schreiben vor und führen die Auswertung der Erhebungen und Bewertungen durch die Abteilung durch.",6.8,8.5,7.5,7.5,7.0,5.5,"Automatisches Screening und Ranking von Bewerbungsunterlagen, Erstellung standardisierter Korrespondenz und Mitteilungen, Datenerfassung und -auswertung aus Umfragen sowie Verwaltung von Personalakten können durch KI-Systeme weitgehend übernommen werden.",3-5 Jahre,"Die öffentliche Verwaltung in der Schweiz digitalisiert ihre Prozesse im Rahmen von E-Government-Initiativen auf Bundes- und Kantonsebene zunehmend, was die Automatisierung von Sachbearbeitertätigkeiten beschleunigt. KI-gestützte Dokumentenverarbeitung und Chatbots können Routineaufgaben übernehmen, jedoch bremsen föderale Strukturen, Datenschutzvorgaben (DSG) und die Mehrsprachigkeit die Automatisierungsgeschwindigkeit. Der direkte Bürgerkontakt sowie das Urteilsvermögen bei komplexen Einzelfällen bleiben vorerst menschlichen Sachbearbeitern vorbehalten.",0.0,0.0,6.8,5.5,25765b34cd48,60k–100k CHF
Schalterbedienstete und Fachkräfte im Bereich Finanzdienstleistungen,4211,39.8,48.8,Verwaltung,68000,Sekundär II,http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791,Fachkraft für Nutztierhaltung,"Fachkräfte für Nutztierhaltung bewahren die Gesundheit und das Wohlergehen von Tieren. Sie überwachen die Zucht/Produktion und die tägliche Pflege, z. B. die Fütterung und das Tränken von Tieren.",5.8,8.5,7.5,3.0,3.5,3.5,"Standardisierte Transaktionen (Kontoeröffnungen, Überweisungen, einfache Beratungen) sowie regelbasierte Finanzentscheide können durch KI-Chatbots, automatisierte Beratungssysteme (Robo-Advisory) und digitale Banking-Plattformen übernommen werden.",3-5 Jahre,"Schweizer Grossbanken wie UBS und CS (nun UBS) sowie Kantonalbanken investieren massiv in digitale Self-Service-Lösungen, wodurch Schaltertätigkeiten stark abnehmen. Die regulatorische Dichte in der Schweiz (FINMA) erfordert jedoch weiterhin menschliche Kontrolle bei komplexen Compliance-Fragen. Beratungsintensive Segmente wie Vermögensverwaltung oder Hypothekarberatung bleiben durch den Bedarf an Vertrauen und persönlicher Beziehung teilweise geschützt.",0.1,0.0,5.8999999999999995,5.4,2999a5b53cac,60k–100k CHF
Sekundarlehrer/in,2330,38.0,55.0,Bildung,110000,Tertiär,http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,Brennschneider/Brennschneiderin,"Brennschneider übernehmen die Einrichtung und Bedienung von Maschinen, die dafür konstruiert sind, überschüssiges Material von einem Metallwerkstück mit einem Brenner zu entfernen bzw. zu verbrennen. Dabei wird das Material bis zu seiner Entzündungstemperatur erhitzt und dann infolge einer Reaktion mit einem Sauerstoffstrom in ein Metalloxid umgewandelt, das als Schlacke aus der Fuge im Werkstück abfließt.",2.8,2.0,5.5,2.0,3.5,1.5,Teilautomatisierung repetitiver Schneidmuster durch CNC-gesteuerte Brennschneidmaschinen und robotergestützte Systeme; Qualitätskontrolle via Bildverarbeitung,3-5 Jahre,"Brennschneiden ist ein physisch anspruchsvoller Beruf mit hohem Anteil an manueller Maschineneinrichtung und situativem Urteilsvermögen, was die KI-Exposition begrenzt. In der Schweizer Metallverarbeitungsindustrie sind CNC-Brennschneidanlagen bereits weit verbreitet, wodurch einfache, repetitive Schnitte zunehmend automatisiert werden, während komplexe Einrichtungsaufgaben und Qualitätsbeurteilungen weiterhin menschliche Expertise erfordern. Der Beruf ist eher durch Maschinen-Automatisierung als durch KI im engeren Sinne gefährdet, und Fachkräftemangel in der Schweiz verlangsamt den Verdrängungsdruck zusätzlich.",-0.2,0.2,2.8,6.7,9efcf9c25ef4,100k–150k CHF
Fachkräfte im Rechnungswesen,3313,36.2,58.7,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,Controller/Controllerin,"Controller/Controllerinnen prüfen und analysieren Jahresabschlüsse, Budgets, Finanzberichte und Geschäftspläne auf fehlerbedingte oder betrügerische Unregelmäßigkeiten und beraten ihre Kunden zu Themen wie Finanzprognose und Risikoanalyse.  Sie können Finanzdaten prüfen, Insolvenzfälle verwalten, Steuererklärungen erstellen und in Bezug auf die geltenden Rechtsvorschriften weitere Steuerberatung anbieten.",6.8,9.2,7.5,8.0,5.5,4.5,"Automatisierte Jahresabschlussanalyse, Anomalieerkennung in Finanzdaten, Steuererklärungserstellung und Buchführungsabstimmung durch KI-Systeme wie LLMs kombiniert mit spezialisierten Finanz-KI-Tools",3-5 Jahre,"In der Schweiz treiben Anbieter wie Abacus, SAP und spezialisierte FinTech-Startups die Automatisierung von Routineaufgaben im Rechnungswesen bereits stark voran. Regelbasierte Tätigkeiten wie MWST-Deklarationen, Lohnbuchhaltung und standardisierte Reporting-Aufgaben werden zunehmend durch KI übernommen, während komplexe Steuerberatung im Schweizer Mehrebenensystem (Bund/Kanton/Gemeinde) und vertrauensbasierte Kundenberatung menschliche Expertise weiterhin erfordern. Das duale Berufsbild – zwischen hochautomatisierbarer Datenverarbeitung und beratungsintensiver Kundenarbeit – führt zu einem mittleren bis hohen Gesamtrisiko mit erheblicher Verschiebung der Tätigkeitsprofile.",0.3,0.0,7.1,6.1,0f44aa28f01f,60k–100k CHF
Fachärzte,2212,36.0,46.6,Gesundheit,90000,Tertiär,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,Facharzt/Fachärztin,Fachärzte/Fachärztinnen beugen Krankheiten vor und diagnostizieren und behandeln Krankheiten entsprechend ihrer medizinischen oder chirurgischen Spezialisierung.,4.2,7.5,4.5,3.0,3.5,2.5,"Bildgebungsanalyse (Radiologie, Pathologie), Diagnoseunterstützung, Befundauswertung, Dokumentation und Kodierung von Diagnosen sowie evidenzbasierte Therapieempfehlungen könnten durch KI-Systeme unterstützt oder teilautomatisiert werden.",5-10 Jahre,"In der Schweiz sind Fachärzte stark in komplexe, patientenindividuelle Entscheidungsprozesse eingebunden, die erhebliche klinische Erfahrung, Empathie und rechtliche Verantwortung erfordern – dies begrenzt das Automatisierungspotenzial erheblich. KI wird voraussichtlich als Assistenzsystem (Decision Support) eingesetzt, nicht als Ersatz, insbesondere weil das Schweizer Gesundheitssystem hohe Qualitäts- und Haftungsstandards sowie eine starke Arzt-Patienten-Beziehungskultur betont. Teilbereiche wie Radiologie oder Dermatoskopie sind kurzfristig stärker exponiert, während chirurgische Fachärzte aufgrund der physischen Komponente langfristig weniger gefährdet sind.",-0.3,0.0,3.9,7.0,d560d0b3ec1b,60k–100k CHF
Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung,3343,35.1,81.4,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44,Vorstandsassistent/Vorstandsassistentin,"Vorstandsassistenten sind hochrangige Verwaltungsfachkräfte, die in verschiedenen Branchen für Führungskräften oder in internationalen Einrichtungen arbeiten. Sie organisieren Sitzungen, ordnen und pflegen Akten, buchen Reisen, schulen Mitarbeiter, erledigen fremdsprachige Korrespondenz bzw. Kommunikation und leiten den täglichen Bürobetrieb.",6.4,8.5,7.0,6.5,5.5,4.0,"Kalender- und Reiseverwaltung, E-Mail-Triage und -Entwürfe, Protokollierung von Sitzungen sowie fremdsprachige Korrespondenz können durch KI-Tools (z.B. Copilot, ChatGPT-Integration) weitgehend automatisiert werden.",3-5 Jahre,"In der Schweiz, wo Mehrsprachigkeit und internationale Unternehmensstrukturen typisch sind, können KI-Systeme bereits heute grosse Teile der Korrespondenz, Übersetzung und Terminkoordination übernehmen. Die enge Vertrauensbeziehung zur Führungsebene sowie das diskrete Handling sensibler Informationen – in der Schweizer Unternehmenskultur besonders gewichtet – bleiben menschliche Kernkompetenzen. Der Beruf wird sich voraussichtlich wandeln: Routinetätigkeiten werden automatisiert, während strategische Koordination, Stakeholder-Management und Urteilsvermögen im Vordergrund stehen.",0.3,0.0,6.7,5.9,d7aebe9d7f37,60k–100k CHF
Pflegeassistent/in,5321,35.0,87.0,Gesundheit,55000,Sekundär II,http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,Brennschneider/Brennschneiderin,"Brennschneider übernehmen die Einrichtung und Bedienung von Maschinen, die dafür konstruiert sind, überschüssiges Material von einem Metallwerkstück mit einem Brenner zu entfernen bzw. zu verbrennen. Dabei wird das Material bis zu seiner Entzündungstemperatur erhitzt und dann infolge einer Reaktion mit einem Sauerstoffstrom in ein Metalloxid umgewandelt, das als Schlacke aus der Fuge im Werkstück abfließt.",2.8,1.5,5.5,1.5,4.0,1.5,Automatisierte CNC-Brennschneidmaschinen und Roboterarme könnten repetitive Schneidvorgänge bei standardisierten Werkstücken übernehmen; digitale Prozesssteuerung kann Parameter optimieren,5-10 Jahre,"Brennschneiden erfordert hohe physische Präsenz, handwerkliches Urteilsvermögen bei unregelmässigen Werkstücken und situative Anpassung – Faktoren, die eine vollständige Automatisierung erschweren. In der Schweizer Industrie (Maschinen- und Metallbau, MEM-Sektor) werden zwar zunehmend CNC-gesteuerte Anlagen eingesetzt, doch Rüst-, Wartungs- und Überwachungsaufgaben bleiben vorerst menschlich. Der Beruf ist durch physische Anforderungen und fehlenden digitalen Output strukturell wenig KI-exponiert, jedoch mittelfristig durch Robotik und Prozessautomatisierung teilweise substituierbar.",-0.3,-0.2,2.3,3.5,5900d1bda033,< 60k CHF
Geschäftsführer/in (KMU),1120,35.0,22.0,Verwaltung,160000,Tertiär,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,Geschäftsführer eines Flughafens/Geschäftsführerin eines Flughafens,"Geschäftsführer/Geschäftsführerinnen von Flughäfen leiten eine Gruppe von Flughafendirektoren/Flughafendirektorinnen, die für alle Bereiche des Flughafens zuständig sind. Sie planen die strategische Ausrichtung des Flughafens auf der Grundlage der Informationen ihres Managerteams.",3.8,6.5,2.5,3.5,2.5,2.0,"Datenanalyse, Berichtswesen und Entscheidungsunterstützung durch KI-gestützte Management-Dashboards; Teile der strategischen Planung könnten durch prädiktive Analysetools teilautomatisiert werden",>10 Jahre,"Flughafengeschäftsführer/innen in der Schweiz (z.B. Zürich, Genf, Basel) operieren in einem hochkomplexen Umfeld mit starker regulatorischer Einbettung (BAZL, internationale Luftfahrtstandards) und müssen strategische, politische und stakeholderbezogene Entscheidungen treffen, die erhebliche menschliche Urteilskraft erfordern. KI kann zwar Datenaggregation, Forecasting und Reporting unterstützen, jedoch ist die Kombination aus strategischer Führung, Krisenmanagement, Verhandlungen mit Behörden und Fluggesellschaften sowie politischer Verantwortung kaum automatisierbar. Die hohe Bedeutung von Vertrauen, Netzwerk und situativer Anpassungsfähigkeit im Schweizer KMU- und Infrastrukturkontext schützt diesen Beruf langfristig vor umfassender KI-Substitution.",0.1,0.4,4.3,8.6,22ea1058e0aa,> 150k CHF
Lastwagenfahrer/in,8332,35.0,2.0,Transport,62000,Sekundär II,http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,Brennschneider/Brennschneiderin,"Brennschneider übernehmen die Einrichtung und Bedienung von Maschinen, die dafür konstruiert sind, überschüssiges Material von einem Metallwerkstück mit einem Brenner zu entfernen bzw. zu verbrennen. Dabei wird das Material bis zu seiner Entzündungstemperatur erhitzt und dann infolge einer Reaktion mit einem Sauerstoffstrom in ein Metalloxid umgewandelt, das als Schlacke aus der Fuge im Werkstück abfließt.",3.8,1.5,6.5,2.0,5.0,6.5,CNC-gesteuerte und roboterbasierte Brennschneidanlagen können repetitive Schneidaufgaben auf standardisierten Werkstücken übernehmen; KI-gestützte Bildverarbeitung kann Materialführung und Schneidparameter optimieren,5-10 Jahre,"Brennschneiden ist eine physisch anspruchsvolle Tätigkeit mit erheblicher manueller Geschicklichkeit, die Anpassungsfähigkeit an unregelmässige Werkstücke und wechselnde Materialeigenschaften erfordert – dies erschwert eine vollständige Automatisierung. In der Schweizer Metallindustrie sind CNC-Brennschneidmaschinen für Standardaufgaben bereits weit verbreitet, jedoch bleiben komplexe Reparatur- und Einzelanfertigungsarbeiten abhängig von qualifizierten Fachkräften. Der Fachkräftemangel im Schweizer Gewerbe könnte Investitionen in Automatisierung beschleunigen, doch die Vielfalt der Anwendungsfälle sichert menschliche Arbeit mittelfristig ab.",0.0,0.0,3.8,3.7,219693fd5442,60k–100k CHF
Führungskräfte in der Produktion von Waren,1321,33.8,20.7,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,Führungskraft in der Produktion von Waren,,4.8,6.5,4.5,3.5,4.0,2.5,"Automatisierung von Produktionsplanung, Qualitätskontrolle, KPI-Überwachung und datengestützten Entscheidungen durch KI-gestützte ERP/MES-Systeme sowie vorausschauende Analytik",5-10 Jahre,"Führungskräfte in der Schweizer Produktion (MEM-Industrie, Pharma, Uhrenindustrie) sind teilweise KI-exponiert, da Planungs-, Reporting- und Optimierungsaufgaben zunehmend automatisiert werden. Jedoch erfordert die Rolle erhebliche soziale Kompetenz (Mitarbeiterführung, Verhandlungen), physische Präsenz in der Fabrikhalle sowie strategisches und situatives Urteilsvermögen, was eine vollständige Automatisierung stark limitiert. Der hohe Qualitäts- und Präzisionsanspruch der Schweizer Industrie macht KI-Unterstützung wahrscheinlicher als KI-Ersatz.",0.0,0.0,4.8,6.5,84d44b0ea53f,60k–100k CHF
Buchhalter/in,2411,32.0,57.0,Finanzen,98000,Tertiär,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,Controller/Controllerin,"Controller/Controllerinnen prüfen und analysieren Jahresabschlüsse, Budgets, Finanzberichte und Geschäftspläne auf fehlerbedingte oder betrügerische Unregelmäßigkeiten und beraten ihre Kunden zu Themen wie Finanzprognose und Risikoanalyse.  Sie können Finanzdaten prüfen, Insolvenzfälle verwalten, Steuererklärungen erstellen und in Bezug auf die geltenden Rechtsvorschriften weitere Steuerberatung anbieten.",7.2,9.0,7.5,8.5,5.5,4.5,"Automatische Prüfung von Jahresabschlüssen, Erkennung von Anomalien/Betrug via ML, Erstellung von Steuererklärungen (insb. Schweizer MWST, Bundes- und Kantonssteuern) sowie Standardisierung von Budgetanalysen und Finanzberichten",3-5 Jahre,"Im Schweizer Kontext sind grosse Teile der Buchhaltungs- und Controllingarbeit bereits stark digitalisiert (z.B. via Abacus, SAP, BST). KI-Tools wie Copilot-Integrationen in ERP-Systemen übernehmen zunehmend regelbasierte Prüftätigkeiten und Reportingaufgaben. Die Komplexität des Schweizer Steuersystems (26 Kantone, spezifische OR-Rechnungslegungspflichten) verlangsamt die vollständige Automatisierung, jedoch werden Routinetätigkeiten wie Kontenabstimmung, Intercompany-Reconciliation und Standardreporting schnell automatisierbar. Die strategische Beratungskomponente (Risikoanalyse, Finanzprognose) sowie die Kundenkommunikation bleiben mittelfristig human-zentriert.",0.3,0.0,7.5,7.9,c8190aa3dfa3,60k–100k CHF
Spitex-Mitarbeiter/in,5322,30.0,89.0,Gesundheit,58000,Sekundär II,http://data.europa.eu/esco/occupation/b91034a0-1d3e-40e4-aced-07052ee0f9e9,Mitarbeiter in der Futtermittelherstellung/Mitarbeiterin in der Futtermittelherstellung,"Mitarbeiter in der Futtermittelherstellung bedienen verschiedene Maschinen für die Futtermittelherstellung in Industrieanlagen, z. B. Mischmaschinen, Abfüllmaschinen und Verlademaschinen.",5.2,3.0,7.5,3.0,6.5,3.5,"Steuerung und Überwachung von Misch-, Abfüll- und Verlademaschinen durch vollautomatisierte Systeme und robotergestützte Prozessautomatisierung in Industrieanlagen",3-5 Jahre,"Die Bedienung von Mischmaschinen, Abfüllmaschinen und Verlademaschinen in der Futtermittelherstellung ist stark repetitiv und regelbasiert, was eine hohe Automatisierbarkeit begünstigt. In der Schweiz treiben hohe Lohnkosten und der starke Franken Investitionen in Industrieautomatisierung besonders stark voran, weshalb viele Agrar- und Futtermittelbetriebe bereits auf vollautomatisierte Produktionslinien umrüsten. Rein manuelle Überwachungstätigkeiten und physische Interventionen bei Störungen bleiben vorläufig ein Restbereich für menschliche Arbeitskräfte.",-0.3,-0.2,4.7,3.9,83035717d5e7,< 60k CHF
Hochschuldozent/in,2310,30.0,37.0,Bildung,130000,Tertiär,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,Hochschullehrkraft für Journalistik,"Hochschullehrkräfte für Journalistik und Medien sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, Journalistik und Medien, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Journalistik Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",4.1,7.0,3.5,4.0,2.5,2.0,"Administrative Aufgaben wie Prüfungskorrektur, Literaturrecherche, Lehrplanvorbereitung und Zusammenfassung von Forschungsergebnissen könnten durch KI-Tools unterstützt oder teilautomatisiert werden.",3-5 Jahre,"Hochschuldozenten für Journalistik und Medien arbeiten zwar stark mit digitalen Inhalten, jedoch erfordert ihre Tätigkeit ein hohes Mass an kritischem Denken, Forschungsoriginalität und persönlicher Betreuung von Studierenden – Bereiche, die KI nur schwer replizieren kann. Im Schweizer Hochschulkontext (z.B. ZHAW, Uni Freiburg) wird zudem grosser Wert auf individualisierte Begleitung und akademische Integrität gelegt, was den Einsatz von KI als Ersatz begrenzt. KI dürfte eher als Assistenzwerkzeug für Verwaltungsaufgaben und erste Recherchen eingesetzt werden, nicht als Ersatz für die Lehrtätigkeit selbst.",-0.2,0.2,4.1,8.1,e56f0723e378,100k–150k CHF
Elektriker/in EFZ,7411,30.0,3.0,Bau,80000,Sekundär II,http://data.europa.eu/esco/occupation/33960bab-4423-4808-af6c-ec2b485dba41,Bauelektriker/Bauelektrikerin,"Bauelektriker installieren und warten Stromkabel und andere elektrische Infrastrukturen in Gebäuden. Sie stellen sicher, dass Elektroinstallationen isoliert sind und dass keine Brandgefahr von ihnen ausgeht. Sie führen Bestandsaufnahmen durch und nehmen auf Anforderung Verbesserungen vor.",2.4,1.5,4.5,1.5,4.0,4.5,"Planungs- und Dokumentationsaufgaben (z.B. Schaltplanerstellung, Bestandsaufnahmen) könnten durch KI-gestützte Tools teilweise automatisiert werden; Diagnose von Störungen via KI-Sensorik ist mittelfristig denkbar",>10 Jahre,"Elektrikerinnen und Elektriker EFZ arbeiten primär physisch in Gebäuden, oft unter schwierigen und variablen Bedingungen (Altbauten, enge Schächte, individuelle Gebäudestrukturen), was eine robotische Automatisierung in der Schweiz mit ihrem heterogenen Gebäudebestand auf absehbare Zeit ausschliesst. Die Tätigkeit erfordert situatives Urteilsvermögen, handwerkliche Geschicklichkeit und Kundenkontakt, was den KI-Automatisierungsgrad stark limitiert. Einzig administrative Teilaufgaben wie Rapportierung oder Materialdisposition könnten durch Digitalisierung vereinfacht werden.",0.0,0.0,2.4,3.9,ca26fad9090d,60k–100k CHF
Informatiker/in EFZ (Applikationsentwicklung),2512,30.0,12.0,ICT,105000,Sekundär II,http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,Informatiker/Informatikerin,"Informatiker führen Forschungsarbeiten auf dem Gebiet der Computer- und Informationswissenschaft durch, um grundlegende Aspekte von IKT-Phänomenen besser zu verstehen. Sie verfassen Forschungsberichte und -vorschläge. Außerdem finden und entwickeln Informatiker neue Ansätze in der Computertechnologie, entdecken innovative Anwendungen für bestehende Technologien sowie Studien und lösen komplexe Probleme auf ihrem Gebiet.",6.2,9.0,5.5,8.5,4.0,6.5,"Code-Generierung, Debugging, Unit-Tests und Dokumentation können durch KI-Tools wie GitHub Copilot oder GPT-4 zunehmend automatisiert werden; Standardapplikationen und CRUD-Logik sind besonders gefährdet",3-5 Jahre,"Informatiker/innen EFZ Applikationsentwicklung sind stark durch KI-Coding-Assistenten betroffen, da Routineaufgaben wie Boilerplate-Code, einfache Algorithmen und Testfälle bereits heute weitgehend automatisierbar sind. In der Schweiz ist der Fachkräftemangel im IT-Bereich jedoch ein dämpfender Faktor – KI wird eher als Produktivitätsmultiplikator eingesetzt als zum vollständigen Stellenabbau. Die Rolle verschiebt sich zunehmend Richtung Anforderungsanalyse, Systemarchitektur und KI-Prompt-Engineering, was neue Qualifikationsanforderungen auf EFZ-Niveau stellt.",-0.2,0.2,6.2,6.6,077e068d44de,100k–150k CHF
